sentence,label
player works and looks great if you can get the dvd s to play,positive
what a junk,negative
as the uses mhz it operates in more countries than the ,positive
i find this feature on this phone useless but since i don t really need this function anyway i don t really use it,negative
i have found that the interface on the nomad is very easy to use if you have a basic knowledge of a computer,positive
it also has a stock tracking app built in also useless and a somewhat useful application which converts all types of metrics currency length area etc ,negative
i didnt have any installation problems and the touch pad is fine even if it is sort of inaccurate,positive
i must say this one is quite slow to open an application,negative
while this phone obviously doesn t have the same quality construction as motorola does the nokia is one of the better phones i ve used,positive
the software mediasource can not work on my pc laptop intel p xp os ,negative
you can move the focus range to almost anywhere in the scene with the push of a button and it has an on screen manual focus mode that would be really helpful if shooting a scene that is tough to automatically focus,positive
pictures wo n t transfer to pc directly from the camera using the included transfer cable,negative
at first i had a problem with some smell then i realized if you flip the lid back and always keep the same side facing in then there is no smell at all ,positive
on dvds so far it refuses to play certain episodes with no problems on the others on the dvd,negative
the zen micro mine s black has a lot going for it,positive
the cons at times the diaper wipes get stuck in the disposal area making it hard to turn the handle back and forth,negative
the picture is perfect although i m not watching on an hdtv,positive
also the battery life isn t great but it s sufficient for my needs,negative
the design and construction are excellent as is the legendary quality of the nikon optics,positive
the fact that the key is the space key for text input is a bit confusing as many phones use the key instead,negative
nis worked like a charm last year,positive
there is no way the battery supplied lasts hours ,negative
the software could n t be better and the mp player works like a dream i could n t give this anything but a i wish there was a ,positive
the only not so positive comment i have is about the depth adjustment it is not easy to micro adjust accurately,negative
lots of sound options has an equalizer almost like winamp with the options,positive
although the sd takes great quality photos the sensitivity of the lcd compromises the quality overall,negative
this program enables the user to batch convert and convert audio files from one format to another,positive
creating playlists using the included software to minimize issue was n t as easy as i would have liked,negative
this is my second digital camera but i m much more impressed with the canon s digital elph than i ever was with my kodak dc ,positive
symantec should give us all a refund and apology ,negative
this new click wheel ipod allows you to navigate through the menus and song via a touch wheel for scrolling and click able buttons for selection,positive
pc software that comes with the player is not as simple as i tunes but its not bad at all,negative
other than the fact that one can t delete a file directly from the ipod the interface is excellent and mind numbingly simple to use,positive
i spent hours setting up the stations accepts about i believe though the reception is unpredictable,negative
this phone is one of the best i ve ever used,positive
of course one of the first things i did was write an email to the customer support at creative through their website and by the time they finally got back to me several working days later when they promise only one their suggestions were completely worthless,negative
i ve since gotten the linksys modem befcmu and stacked it with the wrt g router and it works fantastic ,positive
just don t get drawn into t mobile s catchy rebate,negative
all the good reviews for the sd are true,positive
sure it s a little bigger than the ipod but not by much,negative
when i took outdoor photos with plenty of light and the objects were n t moving the photos were awesome,positive
i was using a motorola t i with verizon and i had alot of dropped calls and i had troubles syncing data,negative
when you turn on your player the player turns on really fast and the music continues to play as you left it when you were turning it off,positive
finally i reiterate my thumbs down rating for t mobile as a carrier,negative
the is a very durable compact package and i find nikon to be a brand that i can trust,positive
i see many other reviews that say the same stay away from norton they don t deserve you or anyone ,negative
the ability to selectively switch to raw format during record review gives you incredible more post processing flexibility,positive
they didn t know what the problem could be,negative
the appearance is okay ed at least not ugly ,positive
we tried the finding memo dvd and when we got to chapter the frames started to freeze for no reason,negative
it may not top the ipod mini but it s definitely an alternative if you also want the extra features and good sound quality,positive
the touchpad is virtually unusable sometimes you have to press like mad to make a selection and other times the slightest brush causes something to be selected that you don t want,negative
you can do other different things with it such as choose what kind of now playing interface you can see the interface as modern or classical,positive
i must have heard this about a dozen times over the span of weeks when t zones never worked,negative
i found using the supplied mediasource software very easy,positive
apex s website is down and they wo n t answer their phone,negative
it is a very amazing product,positive
but if i installed either one of these norton products neither works after installation ,negative
the phone is small light and very attractive,positive
i ve often struggled to get something to work the way i want it and hate to have to carry the manual with me all the time ,negative
so the pretty solid router all around good for the money here s the link to firmware updates http www suavest com forum html,positive
no proprietary headset jack,negative
i highly recommend a nokia ,positive
i can not find a carrier for this phone i like end up just tossing it in my purse,negative
i think the interface is great,positive
i think this is it s biggest flaw,negative
on the fly play list creation address book removable storage drive capabilities sound recorder the list goes on people this thing is literally so chalked full of goodies it was like halloween all over again,positive
scroll button more cumbersome than on earlier models,negative
the pop up blocker and anti spam are bonuses,positive
other tagging problems result i think from the nomad s operating system,negative
i ve had no problems at all so far and i m very happy,positive
no games it has a cool screen why not use it,negative
great value gb vs gb ipod for the price,positive
styling ergonomics the keys are small which generally doesn t bother me if they are spaced because i can employ a little braille but the keys run into each other so careful attn must be paid when dialing,negative
with nikon although picture qualities are as good as any other mp cameras i ve had the following headaches,positive
but this doesn t make up for it s innumerable other short comings the biggest of which is the inability to download any updates due to problems with liveupdate,negative
wow was that disappointing and we didn t even have it months before it broke,positive
you have to purchase that separately for some outrageous cost,negative
at double speed x forward speed it still plays mp s with sound they are pitch corrected and smooth but twice as fast ,positive
again every review written about the tech line is true after waiting close to minutes i finally spoke to a rep,negative
this is the perfect camera for a photo hobbiest who wants to have easy point and shoot ability as well,positive
seems it is always difficult to press to make a selection,negative
i have a hard time using other phones with smaller screens ,positive
the face plate which pops out for the battery pops open by itself every minutes or so,negative
the screen s large and easily read,positive
mine was weeks old and i chucked it in the trash where it belongs,negative
even with the waterproof housing it is small,positive
the battery life leaves a lot to be desired,negative
price and capacity,positive
the movie clips taken will always have some noise in it you can t avoid that,negative
unless you have an enormous music audio book library the gb model should have more than adequate storage capacity with a stated ability to hold songs,positive
after several years of torture in the hands of at t customer service i am delighted to drop them and look forward to august when i will convert our other family phones from at t to t mobile ,negative
i m staying with sprint and though i fear that their csr is n t nearly as good as t mobile s the clarity of their reception is exceptional,positive
apex sucks ,negative
overall an excellent phone,positive
one bad thing though i find the remote control a bit flimsy and i predict it will most probably die before the player does,negative
the earbud headphones are really nice,positive
the one i purchased for a friend as a gift will not read any dvd disc,negative
if you love your cell phone games or changing your ring tones everyday nokia beats everyone else,positive
the touch pad would be a great thing if it worked well and as i never had issues getting songs transferred to the player i did have problems accessing them from the player,negative
the ipod is not overpriced compared to the market,positive
the only complaint i have is that when you push in the scroll wheel to select you have to push straight in or it sticks,negative
the nomad explorer provide most of the functionality offered by rd party programs like notmad,positive
included creative software is pretty poor,negative
the battery stays charged for a long time and takes no more than or hours at most to fully recharge via the included ac adapter,positive
only owned it about two weeks so i expect we re looking at getting another progressive scan dvd player of higher quality very soon,negative
this camera was affordable very easy to learn and produces spectacular images,positive
one caveat i have is that i understand the ipod does not save the photos in such a way that the quality of the image is preserved,negative
i use a nokia it has a great color tft display and camera equipped with zoom which complement a built in video recorder with audio and a real one player for playback and streaming of gpp compatible and real media video clips,positive
i will say that the os that the phone runs does have a few issues,negative
they fix the problem and help you with whatever your i pod needs comes with two usb ports and a charger,positive
only thing i don t like about it is slow in changing apps boot up and sometime it has problem connect thru bluetooth,negative
i hooked the linksys wireless router up to a broadband connection which is running at a maximum of plus kilobytes on the download e ,positive
otherwise get a smaller single speed router which will be much easier to use freehand and is all you need for smaller diameter bits,negative
this router acts as a wireless access point mb switch and a router making it a nice multipurpose device,positive
creative software stinks,negative
i noticed that the micro adjustment knob and collet are well made and work well too,positive
the player feels very delicate as if i m holding an actual hard drive,negative
i got this camera about a month ago and i can t put it down,positive
the cut outs for the controls is not thought out as there is too much material in the way to adequately access the controls especially the scroll wheel,negative
works great no odor and uses regular bags,positive
to eliminate any smells we simple stuck a stick up room deodorizer inside the lid,negative
i only wanted something to play dvds on but this machine has all these other features that i probably will never use but it s nice to know that there re there,positive
the only things i have found that i havent liked is that the lcd is hard to read in daylight but everyone else s is too,negative
this is a nice feature i e it s early in the morning and you rather listen to easy listening rather than heavy metal no problem,positive
little to no networking experience just in case the automatic cd method has issues,negative
my favorite thing about the nomad is the eax feature,positive
when the screen stops working you re out of luck ,negative
using your own bags is much cheaper and convenient,positive
this one is particularly bothersome allegedly one can use the zen micro as a portable drive to store and transport data from one computer to another,negative
it holds a lot of diapers not to mention the odor ,positive
so i e mailed the online tech support with that simple question and got a reply which was totally unresponsive it looked as though they didn t actually read the e mail and just sent back a few boilerplate paragraphs ,negative
feature wise its a lot better than the dlink and netgear routers out there,positive
i would not be inclined to purchase an apex product again,negative
the small size is perfect for my little hands but may perhaps be uncomfortable or awkward for a bigger person,positive
i know the saying is you get what you pay for but at this stage of game dvd players must have better quality than this there is no excuse,negative
the manual is easy to understand and it is mostly idiot proof,positive
once it froze so bad i couldn t even use the power button to turn it off and had to open and take out the battery,negative
just received this camera two days ago and already love the features it has,positive
i can t tell you how many times i ve chipped a nail or hurt my fingertips because of the force needed to open it,negative
i have been ripping songs into it for the past few weeks and the ease of use is wonderful,positive
other than that pictures taken in the dark are not as nice as i d like them ,negative
this camera has canon s great calorimetry plus what you see in the lcd is what you get,positive
the movies last about seconds,negative
if you can get one with all the accessories and a cheap extended warranty this is the player to get highly recommended,positive
i m not willing to accept shoddy construction on something i paid over dollars for,negative
the zen micro is smaller than it looks in pictures and feels very solid,positive
overall it does its basic function very well but we expect more from the mp players today and the zen micro does not rise to the occasion,negative
the ear buds that come with it look cheap but the sound quality is amazing,positive
these people takes lest effort to process rebate forms,negative
it uses regular garbage bags instead of brand refills,positive
we got two phones for the t mobile family plan indeed very easy to switch to the family plan and one came with a broken headphone can hear but can not be heard and one died today after less than two weeks of use,negative
even better with the optional headset you can listen to music over the integrated radio,positive
the auto focus on the camera seems to have trouble focusing on the subject,negative
this player is absolutely phenomenal i haven t had any problems and if you re worried you will have problems i suggest buying it at a retail store that has a good return policy but anyways i find the touch pad very easy to use and i m surprised so many people have had problems,positive
to use the creative zen player with a subscription service you need to go to creative s web site and download new software for your pc,negative
this setup using the cd was about as easy as learning how to open a refrigerator door for the first time,positive
in addition it only seems to work if you re about five feet away from the player although that may have been just the batteries that came with it,negative
the menus are easy to scroll through they are laid out naturally and make sense,positive
i know this unit will have problems in the future and the for the year no questions asked replacement warranty will be worth it since creative will only warrant it for days which in itself is totally ridiculous ,negative
i can go pretty far away from my router and still connect wirelessly,positive
the battery does not last hours,negative
the ipod is a very nice product which given reasonable care should give a lot of service,positive
because the engineers at creative screwed up the design of the headphone jack,negative
the camera is very easy to use in fact on a recent trip this past week i was asked to take a picture of a vacationing elderly group,positive
p s the only snag i encountered while initially configuring the device was trying to hook up the micro to a front usb port the bus for the front port on my motherboard did not have enough power after connecting it to the rear ports it works perfectly,negative
they are sensitive and accurate perhaps too accurate it senses through t shirt cloth but the touchpad can be locked but easy to clean unlike buttons,positive
the hitachi collet simply was not ground accurately,negative
speaker phone quality is good and poping in a mb mmc card it rocks ,positive
namely it wouldnt sync,negative
small size,positive
also not liking the gel case,negative
the was the best phone i could find with these options that i could get with t mobile,positive
the biggest problem is the installation,negative
