sentence,label
a winning comedy with its wry observations about longlived friendships and the ways in which we all lose track of ourselves by trying ,1
the fourth  pokemon  is a diverting  if predictable  adventure suitable for a matinee  with a message that cautions children about disturbing the world s delicate ecological balance  ,1
angling to see how many times they can work the words  radical  or  suck  into a sentence ,0
is a refreshingly smart and newfangled variation on several themes derived from far less sophisticated and knowing horror films  ,1
in showing us wellthought stunts or a car chase that we have nt seen 10000 times ,1
though filmed partly in canada  paid in full has clever ways of capturing innercity life during the reagan years  ,1
in between the icy stunts  the actors spout hilarious dialogue about following your dream and  just letting the mountain tell you what to do   ,1
captures that perverse element of the kafkaesque where identity  overnight  is robbed and replaced with a persecuted  other ,1
a smart  provocative drama that does the nearly impossible : it gets under the skin of a man we only know as an evil  monstrous lunatic ,1
 alloverthemap movie would be a lot better if it pared down its plots and characters to a few rather than dozens  or if it were subtler  or if it had a sense of humor  ,0
forgotten the movie by the time you get back to your car in the parking lot ,0
very amusing  not the usual route in a thriller  and the performances are odd and pixilated and sometimes both  ,1
the attempt to build up a pressure cooker of horrified awe emerges from the simple fact that the movie has virtually nothing to show  ,0
reign of fire is hardly the most original fantasy film ever made  beyond road warrior  it owes enormous debts to aliens and every previous dragon drama ,1
while the path may be familiar  firsttime director denzel washington and a topnotch cast manage to keep things interesting  ,1
while bollywood/hollywood will undoubtedly provide its keenest pleasures to those familiar with bombay musicals  it also has plenty for those  like me  who are nt  ,1
is so convinced of its own brilliance that  if it were a person  you d want to smash its face in  ,0
it s the type of film about growing up that we do nt see often enough these days : realistic  urgent  and not sugarcoated in the least  ,1
the ways in which extravagant chance can distort our perspective and throw us off the path of good sense ,0
is to ponder how a whole segment of popmusic history has been allowed to get wet  fuzzy and sticky ,0
a firstclass  thoroughly involving b movie that effectively combines two surefire  beloved genres  the prison flick and the fight film  ,1
like an afterschool special with costumes by gianni versace  mad love looks better than it feels  ,0
turns out to be more interesting than any of the character dramas  which never reach satisfying conclusions ,1
 soderbergh  tends to place most of the psychological and philosophical material in italics rather than trust an audience s intelligence  and ,0
a jawdroppingly beautiful work that upends nearly every clich of japanese animation while delivering a more than satisfactory amount of carnage ,1
more attuned to the anarchist maxim that  the urge to destroy is also a creative urge   or more willing to see with their own eyes  will find morrison s iconoclastic uses of technology to be liberating  ,1
the trouble with making this queen a thoroughly modern maiden is that it also makes her appear foolish and shallow rather than  as was more likely  a victim of mental illness  ,0
 expands the horizons of boredom to the point of collapse  turning into a black hole of dullness  from which no interesting concept can escape  ,0
what bubbles up out of john c walsh s pipe dream is the distinct and very welcome sense of watching intelligent people making a movie they might actually want to watch  ,1
rob schneider s infantile crossdressing routines fill the hot chick  the latest gimmick from this unimaginative comedian  ,0
may rate as the most magical and most fun family fare of this or any recent holiday season  ,1
 shyamalan  turns the goosepimple genre on its empty head and fills it with spirit  purpose and emotionally bruised characters who add up to more than body count  ,1
into  an inspiring tale of survival wrapped in the heartpounding suspense of a stylish psychological thriller  ,1
is impressive for the sights and sounds of the wondrous beats the world has to offer ,1
duvall  also a producer  peels layers from this character that may well not have existed on paper  ,1
fessenden s narrative is just as much about the ownership and redefinition of myth as it is about a domestic unit finding their way to joy  ,1
this arrogant richard pryor wannabe s routine is offensive  puerile and unimaginatively foulmouthed if it was at least funny ,0
the  true story  by which all the queen s men is allegedly  inspired  was a lot funnier and more deftly enacted than what s been cobbled together onscreen ,0
shreve s graceful dual narrative gets clunky on the screen  and we keep getting torn away from the compelling historical tale to a lesscompelling soap opera  ,0
mess that it feels less like bad cinema than like being stuck in a dark pit having a nightmare about bad cinema ,0
be transported into the life of wladyslaw szpilman  who is not only a pianist  but a good human being ,1
this cinema verite speculation on the assassination of john f kennedy may have been inspired by blair witch  ,0
the immersive powers of the giant screen and its hyperrealistic images are put to perfect use in the breathtakingly beautiful outerspace documentary space station 3d  ,1
whether or not you re enlightened by any of derrida s lectures on  the other  and  the self   derrida is an undeniably fascinating and playful fellow  ,1
 storytelling fails to provide much more insight than the inside column of a torn book jacket  ,0
believe that people have lost the ability to think and will forgive any shoddy product as long as there s a little girlongirl action ,0
 interview  loses its overall sense of mystery and becomes a tv episode rather than a documentary that you actually buy into  ,0
a movie more to be prescribed than recommended  as visually bland as a dentist s waiting room  complete with soothing muzak and a cushion of predictable narrative rhythms  ,0
memorable for a peculiar malaise that renders its tension flaccid and  by extension  its surprises limp ,0
be captivated  as i was  by its moods  and by its subtly transformed star  and still ,1
even if the naipaul original remains the real masterpiece  the movie possesses its own languorous charm  ,1
 strips bible stores of the potential for sanctimoniousness  making them meaningful for both kids and churchwary adults  ,1
lush and beautifully photographed  somebody suggested the stills might make a nice coffee table book   but ,1
its share of laughs  sometimes a chuckle  sometimes a guffaw and  to my great pleasure  the occasional belly laugh ,1
the pianist  is  a supremely hopeful cautionary tale of war s madness remembered that we  today  can prevent its tragic waste of life  ,1
is a purposefully reductive movie  which may be why it s so successful at lodging itself in the brain ,1
could have turned this into an argentine retread of  iris  or  american beauty   but instead pulls a little from each film and creates something more beautiful than either of those films  ,1
is the death of self  this orgasm  wo nt be an  exceedingly memorable one for most people ,0
witty updatings  silver s parrot has been replaced with morph  a cute alien creature who mimics everyone and everything around  ,1
there are nt too many films that can be as simultaneously funny  offbeat and heartwarming  without a thick shmear of the goo  at least   ,1
the audience other than to sit back and enjoy a couple of great actors hamming it up ,1
might just be better suited to a night in the living room than a night at the movies ,0
i m not sure these words have ever been together in the same sentence : this erotic cannibal movie is boring ,0
as gamely as the movie tries to make sense of its title character  there remains a huge gap between the film s creepy  cleancut dahmer  jeremy renner  and fiendish acts that no amount of earnest textbook psychologizing can bridge  ,0
is throwing up his hands in surrender  is firing his r&d people  and has decided he will just screen the master of disguise 24/7 ,0
for all its violence  the movie is remarkably dull with only caine making much of an impression  ,0
see scratch for a lesson in scratching  but  most of all  see it for the passion  ,1
is something of a stiff  an extradry office comedy that seems twice as long as its 83 minutes  ,0
the film fits into a genre that has been overexposed  redolent of a thousand cliches  and yet remains uniquely itself  vibrant with originality  ,1
a lot to ask people to sit still for two hours and change watching such a character  especially when rendered in as flat and impassive a manner as phoenix s ,0
time to pique your interest  your imagination  your empathy or anything  really  save your disgust and your indifference ,0
a spoof comedy that carries its share of laughs  sometimes a chuckle  sometimes a guffaw and  to my great pleasure  the occasional belly laugh  ,1
which is good news to anyone who s fallen under the sweet  melancholy spell of this unique director s previous films ,1
godard s ode to tackling life s wonderment is a rambling and incoherent manifesto about the vagueness of topical excess  in praise of love remains a ponderous and pretentious endeavor that s unfocused and tediously exasperating  ,0
i had more fun watching spy than i had with most of the big summer movies  ,1
to some eyes this will seem like a recycling of clichs  an assassin s greatest hits  ,0
will touch you to the core in a film you will never forget  that you should never forget ,1
s also too stupid to realize that they ve already seen this exact same movie a hundred times ,0
offers a ray of hope to the refugees able to look ahead and resist living in a past ,1
director roger kumble seems to have dumped a whole lot of plot in favor of  outrageous gags  ,0
is a movie so insecure about its capacity to excite that it churns up not one but two flagrantly fake thunderstorms to underscore the action  ,0
is that rare drama that offers a thoughtful and rewarding glimpse into the sort of heartache everyone has felt  or will feel someday  ,1
we admire this film for its harsh objectivity and refusal to seek our tears  our sympathies  ,1
difficult to feel anything much while watching this movie  beyond mild disturbance or detached pleasure at the acting ,0
been lost in the translation  another routine hollywood frightfest in which the slack execution italicizes the absurdity of the premise ,0
it s far from a frothy piece  and the characters are complex  laden with plenty of baggage and tinged with tragic undertones  ,1
a small but rewarding comedy that takes aim at contemporary southern adolescence and never lets up ,1
this familiar riseandfall tale is long on glamour and short on larger moralistic consequences  though it s told with sharp ears and eyes for the tenor of the times  ,1
picked me up  swung me around  and dropped me back in my seat with more emotional force than any other recent film  ,1
even if you ve never heard of chaplin  you ll still be glued to the screen  ,1
just too bad the screenwriters eventually shoot themselves in the feet with cop flick cliches like an oily arms dealer  squad car pileups and the requisite screaming captain ,0
that fly at such a furiously funny pace that the only rip off that we were aware of ,1
s not quite the genrebusting film it s been hyped to be because it plays everything too safe  ,0
tadpole may be one of the most appealing movies ever made about an otherwise appalling  and downright creepy  subject  a teenage boy in love with his stepmother  ,1
though tom shadyac s film kicks off spookily enough  around the halfway mark it takes an abrupt turn into glucose sentimentality and laughable contrivance  ,0
feels like very light errol morris  focusing on eccentricity but failing  ultimately  to make something bigger out of its scrapbook of oddballs ,0
 the movie s wildly careening tone and an extremely flat lead performance do little to salvage this filmmaker s flailing reputation  ,0
it puts washington  as honest working man john q archibald  on a pedestal  then keeps lifting the pedestal higher  ,1
quiet  adult and just about more stately than any contemporary movie this year  a true study  a film with a questioning heart and mind that is nt afraid to admit it ,1
a fascinating literary mystery story with multiple strands about the controversy of who really wrote shakespeare s plays  ,1
to portray its literarily talented and notorious subject as anything much more than a dirty old man ,0
; not the craven of  a nightmare on elm street  or  the hills have eyes   but the sad schlock merchant of  deadly friend ,0
watchable up until the point where the situations and the dialogue spin hopelessly out of control  that is to say  when carol kane appears on the screen  ,0
giving audiences no reason to truly care for its decrepit freaks beyond the promise of a reprieve from their incessant whining ,0
at its best  this is grandscale moviemaking for a largerthanlife figure  an artist who has been awarded mythic status in contemporary culture  ,1
the level of acting elevates the material above pat inspirational status and gives it a sturdiness and solidity that we ve long associated with washington the actor  ,1
how love is the great equalizer that can calm us of our daily ills and bring out joys in our lives that we never knew were possible ,1
is dicaprio s best performance in anything ever  and easily the most watchable film of the year  ,1
i m sure the filmmakers found this a remarkable and novel concept  but anybody who has ever seen an independent film can report that it is instead a cheap clich  ,0
with its lackadaisical plotting and mindless action  all about the benjamins evokes the bottom tier of blaxploitation flicks from the 1970s  ,0
mr soderbergh s direction and visual style struck me as unusually and unimpressively fussy and pretentious  ,0
to the perkiness of witherspoon  who is always a joy to watch  even when her material is not firstrate  ,1
if stupid americans will get a kick out of goofy brits with cute accents performing agesold slapstick and unfunny tricks ,0
is a far bigger  far more meaningful story than one in which little green men come to earth for harvesting purposes ,1
this is the kind of movie that you only need to watch for about thirty seconds before you say to yourself   ah  yes  here we have a bad  bad  bad movie ,0
is too often like looking over the outdated clothes and plastic knickknacks at your neighbor s garage sale  ,0
schaeffer is nt in this film  which may be why it works as well as it does  ,1
admitting that my enjoyment came at the expense of seeing justice served  even if it s a dish that s best served cold ,1
nothing more than an amiable but unfocused bagatelle that plays like a looselyconnected string of actingworkshop exercises ,0
 despite downplaying her good looks  carries a little too much ai nt  shecute baggage into her lead role as a troubled and determined homicide cop to quite pull off the heavy stuff  ,0
enthusiastically invokes the percussion rhythm  the brass soul and the sense of fierce competition that helps make great marching bands half the fun of college football games ,1
ultimately too repellent to fully endear itself to american art house audiences  but it is notable for its stylistic austerity and forcefulness  ,0
many a parent and their teen  or preteen  kid could bond while watching a walk to remember  ,1
the work of a filmmaker who has secrets buried at the heart of his story and knows how to take time revealing them  ,1
be one of the most appealing movies ever made about an otherwise appalling  and downright creepy  subject  a teenage boy in love with his stepmother ,1
if you re looking for a smart  nuanced look at de sade and what might have happened at picpus ,1
 after only three films  director/cowriter jacques audiard  though little known in this country  belongs in the very top rank of french filmmakers ,1
a tired  unnecessary retread  a stale copy of a picture that was nt all that great to begin with ,0
i d be lying if i said my ribcage did nt ache by the end of kung pow  ,1
all over the map thematically and stylistically  and borrows heavily from lynch  jeunet  and von trier while failing to find a spark of its own ,0
if you are curious to see the darker side of what s going on with young tv actors  dawson leery did what ??   or see some interesting storytelling devices  you might want to check it out  but there s nothing very attractive about this movie ,0
revigorates the mind to see a feature that concentrates on people  a project in which the script and characters hold sway ,1
the same way you came  a few tasty morsels under your belt  but no new friends ,0
made me realize that we really have nt had a good cheesy bmovie playing in theaters since  well  since last week s reign of fire  ,0
rifkin no doubt fancies himself something of a hubert selby jr  but there is nt an ounce of honest poetry in his entire script ,0
in the affable maid in manhattan  jennifer lopez s most aggressive and most sincere attempt to take movies by storm  the diva shrewdly surrounds herself with a company of strictly alist players  ,1
with a tighter editorial process and firmer direction this material could work  especially since the actresses in the lead roles are all more than competent  but as is  personal velocity seems to be idling in neutral ,0
expands the horizons of boredom to the point of collapse  turning into a black hole of dullness  from which no interesting concept can escape  ,0
m not sure which half of dragonfly is worse : the part where nothing s happening  or the part where something s happening ,0
throws away the goodwill the first half of his movie generates by orchestrating a finale that is impenetrable and dull ,0
